date,ticker,name
2019-04-18,GNLN,"Greenlane Holdings, Inc."
2019-04-18,HOOK,HOOKIPA Pharma Inc.
2019-04-18,MNRL,MNRL Sub Inc.
2019-04-18,PINS,"PINTEREST, INC."
2019-04-18,ZM,"Zoom Communications, Inc."
2019-05-02,BYND,"BEYOND MEAT, INC."
2019-05-02,SY,So-Young International Inc.
2019-05-02,TMDX,"TransMedics Group, Inc."
2019-05-03,ATIF,ATIF Holdings Ltd
2019-05-03,RRBI,RED RIVER BANCSHARES INC
2019-05-03,SCPL,SciPlay Corp
2019-05-03,YJ,Yunji Inc.
2019-05-07,TRVI,"Trevi Therapeutics, Inc."
2019-05-08,PSN,PARSONS CORP
2019-05-09,AXLA,Axcella Health Inc.
2019-05-09,CRTX,"Quince Therapeutics, Inc."
2019-05-09,MEC,"Mayville Engineering Company, Inc."
2019-05-09,MIST,Milestone Pharmaceuticals Inc.
2019-05-09,NXTC,"NextCure, Inc."
2019-05-09,SPFI,"SOUTH PLAINS FINANCIAL, INC."
2019-05-10,JFIN,Jiayin Group Inc.
2019-05-10,SONM,"DNA X, Inc."
2019-05-14,APLT,"Applied Therapeutics, Inc."
2019-05-15,PSTL,"Postal Realty Trust, Inc."
2019-05-17,FSLY,"Fastly, Inc."
2019-05-17,LK,Luckin Coffee Inc.
2019-05-23,BCYC,BICYCLE THERAPEUTICS PLC
2019-05-23,IDYA,"Ideaya Biosciences, Inc."
2019-06-06,GSX,Gaotu Techedu Inc.
2019-06-07,RVLV,"Revolve Group, Inc."
2019-06-12,CRWD,"CrowdStrike Holdings, Inc."
2019-06-12,MWK,"Aterian, Inc."
2019-06-14,CHWY,"Chewy, Inc."
2019-06-19,STOK,"Stoke Therapeutics, Inc."
2019-06-20,AKRO,"Akero Therapeutics, Inc."
2019-06-20,BCEL,"Atreca, Inc."
2019-06-20,GO,Grocery Outlet Holding Corp.
2019-06-20,PRVL,Prevail Therapeutics Inc.
2019-06-20,PSNL,"Personalis, Inc."
2019-06-20,WORK,"Slack Technologies, Inc."
